"country","indicator","Unit","Date","Value"
"DENMARK","All vehicles","UNITS","1/1/2008 12:00:00 AM",191169
"DENMARK","All vehicles","UNITS","1/1/2009 12:00:00 AM",131788
"DENMARK","All vehicles","UNITS","1/1/2010 12:00:00 AM",173566
"DENMARK","All vehicles","UNITS","1/1/2011 12:00:00 AM",198518
"DENMARK","All vehicles","UNITS","1/1/2012 12:00:00 AM",199147
"FINLAND","All vehicles","UNITS","1/1/2005 12:00:00 AM",168121
"FINLAND","All vehicles","UNITS","1/1/2006 12:00:00 AM",166673
"FINLAND","All vehicles","UNITS","1/1/2007 12:00:00 AM",147842
"FINLAND","All vehicles","UNITS","1/1/2008 12:00:00 AM",160998
"FINLAND","All vehicles","UNITS","1/1/2009 12:00:00 AM",103016
"FINLAND","All vehicles","UNITS","1/1/2010 12:00:00 AM",126396
"FINLAND","All vehicles","UNITS","1/1/2011 12:00:00 AM",144425
"FINLAND","All vehicles","UNITS","1/1/2012 12:00:00 AM",126505
"FRANCE","All vehicles","UNITS","1/1/2005 12:00:00 AM",2598183
"FRANCE","All vehicles","UNITS","1/1/2006 12:00:00 AM",2544165
"FRANCE","All vehicles","UNITS","1/1/2007 12:00:00 AM",2629186
"FRANCE","All vehicles","UNITS","1/1/2008 12:00:00 AM",2614829
"FRANCE","All vehicles","UNITS","1/1/2009 12:00:00 AM",2718599
"FRANCE","All vehicles","UNITS","1/1/2010 12:00:00 AM",2708884
"FRANCE","All vehicles","UNITS","1/1/2011 12:00:00 AM",2687052
"FRANCE","All vehicles","UNITS","1/1/2012 12:00:00 AM",2331731
"GERMANY","All vehicles","UNITS","1/1/2005 12:00:00 AM",3614886
"GERMANY","All vehicles","UNITS","1/1/2006 12:00:00 AM",3772394
"GERMANY","All vehicles","UNITS","1/1/2007 12:00:00 AM",3482279
"GERMANY","All vehicles","UNITS","1/1/2008 12:00:00 AM",3425039
"GERMANY","All vehicles","UNITS","1/1/2009 12:00:00 AM",4049353
"GERMANY","All vehicles","UNITS","1/1/2010 12:00:00 AM",3198416
"GERMANY","All vehicles","UNITS","1/1/2011 12:00:00 AM",3508454
"GERMANY","All vehicles","UNITS","1/1/2012 12:00:00 AM",3394002
"GREECE","All vehicles","UNITS","1/1/2005 12:00:00 AM",295266
"GREECE","All vehicles","UNITS","1/1/2006 12:00:00 AM",294060
"GREECE","All vehicles","UNITS","1/1/2007 12:00:00 AM",306875
"GREECE","All vehicles","UNITS","1/1/2008 12:00:00 AM",292865
"GREECE","All vehicles","UNITS","1/1/2009 12:00:00 AM",237118
"GREECE","All vehicles","UNITS","1/1/2010 12:00:00 AM",153842
"GREECE","All vehicles","UNITS","1/1/2011 12:00:00 AM",104682
"GREECE","All vehicles","UNITS","1/1/2012 12:00:00 AM",62518
"ICELAND","All vehicles","UNITS","1/1/2005 12:00:00 AM",20870
"ICELAND","All vehicles","UNITS","1/1/2006 12:00:00 AM",20198
"ICELAND","All vehicles","UNITS","1/1/2007 12:00:00 AM",19305
"ICELAND","All vehicles","UNITS","1/1/2008 12:00:00 AM",10579
"ICELAND","All vehicles","UNITS","1/1/2009 12:00:00 AM",2471
"ICELAND","All vehicles","UNITS","1/1/2010 12:00:00 AM",3395
"ICELAND","All vehicles","UNITS","1/1/2011 12:00:00 AM",5471
"ICELAND","All vehicles","UNITS","1/1/2012 12:00:00 AM",8507
"IRELAND","All vehicles","UNITS","1/1/2005 12:00:00 AM",213706
"IRELAND","All vehicles","UNITS","1/1/2006 12:00:00 AM",225723
"IRELAND","All vehicles","UNITS","1/1/2007 12:00:00 AM",236353
"IRELAND","All vehicles","UNITS","1/1/2008 12:00:00 AM",185620
"IRELAND","All vehicles","UNITS","1/1/2009 12:00:00 AM",68031
"IRELAND","All vehicles","UNITS","1/1/2010 12:00:00 AM",99986
"IRELAND","All vehicles","UNITS","1/1/2011 12:00:00 AM",102443
"IRELAND","All vehicles","UNITS","1/1/2012 12:00:00 AM",91728
"ITALY","All vehicles","UNITS","1/1/2005 12:00:00 AM",2495436
"ITALY","All vehicles","UNITS","1/1/2006 12:00:00 AM",2606375
"ITALY","All vehicles","UNITS","1/1/2007 12:00:00 AM",2777175
"ITALY","All vehicles","UNITS","1/1/2008 12:00:00 AM",2421918
"ITALY","All vehicles","UNITS","1/1/2009 12:00:00 AM",2357443
"ITALY","All vehicles","UNITS","1/1/2010 12:00:00 AM",2164153
"ITALY","All vehicles","UNITS","1/1/2011 12:00:00 AM",1942949
"ITALY","All vehicles","UNITS","1/1/2012 12:00:00 AM",1534889
"LUXEMBOURG","All vehicles","UNITS","1/1/2005 12:00:00 AM",53122
"LUXEMBOURG","All vehicles","UNITS","1/1/2006 12:00:00 AM",55512
"LUXEMBOURG","All vehicles","UNITS","1/1/2007 12:00:00 AM",56647
"LUXEMBOURG","All vehicles","UNITS","1/1/2008 12:00:00 AM",58405
"LUXEMBOURG","All vehicles","UNITS","1/1/2009 12:00:00 AM",51462
"LUXEMBOURG","All vehicles","UNITS","1/1/2010 12:00:00 AM",53993
"LUXEMBOURG","All vehicles","UNITS","1/1/2011 12:00:00 AM",55015
"LUXEMBOURG","All vehicles","UNITS","1/1/2012 12:00:00 AM",55049
"NETHERLANDS","All vehicles","UNITS","1/1/2005 12:00:00 AM",545983
"NETHERLANDS","All vehicles","UNITS","1/1/2006 12:00:00 AM",568717
"NETHERLANDS","All vehicles","UNITS","1/1/2007 12:00:00 AM",601534
"NETHERLANDS","All vehicles","UNITS","1/1/2008 12:00:00 AM",604135
"NETHERLANDS","All vehicles","UNITS","1/1/2009 12:00:00 AM",451907
"NETHERLANDS","All vehicles","UNITS","1/1/2010 12:00:00 AM",542312
"NETHERLANDS","All vehicles","UNITS","1/1/2011 12:00:00 AM",627757
"NETHERLANDS","All vehicles","UNITS","1/1/2012 12:00:00 AM",571893
"PORTUGAL","All vehicles","UNITS","1/1/2005 12:00:00 AM",278470
"PORTUGAL","All vehicles","UNITS","1/1/2006 12:00:00 AM",265174
"PORTUGAL","All vehicles","UNITS","1/1/2007 12:00:00 AM",276606
"PORTUGAL","All vehicles","UNITS","1/1/2008 12:00:00 AM",275127
"PORTUGAL","All vehicles","UNITS","1/1/2009 12:00:00 AM",203760
"PORTUGAL","All vehicles","UNITS","1/1/2010 12:00:00 AM",272754
"PORTUGAL","All vehicles","UNITS","1/1/2011 12:00:00 AM",191362
"PORTUGAL","All vehicles","UNITS","1/1/2012 12:00:00 AM",113435
"NORWAY","All vehicles","UNITS","1/1/2005 12:00:00 AM",152588
"NORWAY","All vehicles","UNITS","1/1/2006 12:00:00 AM",158407
"NORWAY","All vehicles","UNITS","1/1/2007 12:00:00 AM",182203
"NORWAY","All vehicles","UNITS","1/1/2008 12:00:00 AM",153247
"NORWAY","All vehicles","UNITS","1/1/2009 12:00:00 AM",127437
"NORWAY","All vehicles","UNITS","1/1/2010 12:00:00 AM",162354
"NORWAY","All vehicles","UNITS","1/1/2011 12:00:00 AM",180313
"NORWAY","All vehicles","UNITS","1/1/2012 12:00:00 AM",176909
"SPAIN","All vehicles","UNITS","1/1/2005 12:00:00 AM",1959488
"SPAIN","All vehicles","UNITS","1/1/2006 12:00:00 AM",1953134
"SPAIN","All vehicles","UNITS","1/1/2007 12:00:00 AM",1939298
"SPAIN","All vehicles","UNITS","1/1/2008 12:00:00 AM",1362586
"SPAIN","All vehicles","UNITS","1/1/2009 12:00:00 AM",1074222
"SPAIN","All vehicles","UNITS","1/1/2010 12:00:00 AM",1114119
"SPAIN","All vehicles","UNITS","1/1/2011 12:00:00 AM",931404
"SPAIN","All vehicles","UNITS","1/1/2012 12:00:00 AM",790991
"SWEDEN","All vehicles","UNITS","1/1/2005 12:00:00 AM",316108
"SWEDEN","All vehicles","UNITS","1/1/2006 12:00:00 AM",329960
"SWEDEN","All vehicles","UNITS","1/1/2007 12:00:00 AM",358717
"SWEDEN","All vehicles","UNITS","1/1/2008 12:00:00 AM",301459
"SWEDEN","All vehicles","UNITS","1/1/2009 12:00:00 AM",247513
"SWEDEN","All vehicles","UNITS","1/1/2010 12:00:00 AM",334134
"SWEDEN","All vehicles","UNITS","1/1/2011 12:00:00 AM",359066
"SWEDEN","All vehicles","UNITS","1/1/2012 12:00:00 AM",326441
"SWITZERLAND","All vehicles","UNITS","1/1/2005 12:00:00 AM",293472
"SWITZERLAND","All vehicles","UNITS","1/1/2006 12:00:00 AM",298697
"SWITZERLAND","All vehicles","UNITS","1/1/2007 12:00:00 AM",315402
"SWITZERLAND","All vehicles","UNITS","1/1/2008 12:00:00 AM",321326
"SWITZERLAND","All vehicles","UNITS","1/1/2009 12:00:00 AM",294699
"SWITZERLAND","All vehicles","UNITS","1/1/2010 12:00:00 AM",324779
"SWITZERLAND","All vehicles","UNITS","1/1/2011 12:00:00 AM",355256
"SWITZERLAND","All vehicles","UNITS","1/1/2012 12:00:00 AM",366273
"UNITED KINGDOM","All vehicles","UNITS","1/1/2005 12:00:00 AM",2828127
"UNITED KINGDOM","All vehicles","UNITS","1/1/2006 12:00:00 AM",2734360
"UNITED KINGDOM","All vehicles","UNITS","1/1/2007 12:00:00 AM",2799619
"UNITED KINGDOM","All vehicles","UNITS","1/1/2008 12:00:00 AM",2485258
"UNITED KINGDOM","All vehicles","UNITS","1/1/2009 12:00:00 AM",2222542
"UNITED KINGDOM","All vehicles","UNITS","1/1/2010 12:00:00 AM",2293576
"UNITED KINGDOM","All vehicles","UNITS","1/1/2011 12:00:00 AM",2249483
"UNITED KINGDOM","All vehicles","UNITS","1/1/2012 12:00:00 AM",2333763
"BULGARIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",34940
"BULGARIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",45300
"BULGARIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",55336
"BULGARIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",57927
"BULGARIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",26813
"BULGARIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",20082
"BULGARIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",22910
"BULGARIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",23419
"CYPRUS","All vehicles","UNITS","1/1/2005 12:00:00 AM",20986
"CYPRUS","All vehicles","UNITS","1/1/2006 12:00:00 AM",22383
"CYPRUS","All vehicles","UNITS","1/1/2007 12:00:00 AM",27517
"CYPRUS","All vehicles","UNITS","1/1/2008 12:00:00 AM",27533
"CYPRUS","All vehicles","UNITS","1/1/2009 12:00:00 AM",18419
"CYPRUS","All vehicles","UNITS","1/1/2010 12:00:00 AM",17920
"CYPRUS","All vehicles","UNITS","1/1/2011 12:00:00 AM",15958
"CYPRUS","All vehicles","UNITS","1/1/2012 12:00:00 AM",11563
"CZECH REPUBLIC","All vehicles","UNITS","1/1/2005 12:00:00 AM",175923
"CZECH REPUBLIC","All vehicles","UNITS","1/1/2006 12:00:00 AM",183631
"CZECH REPUBLIC","All vehicles","UNITS","1/1/2007 12:00:00 AM",207038
"CZECH REPUBLIC","All vehicles","UNITS","1/1/2008 12:00:00 AM",215451
"CZECH REPUBLIC","All vehicles","UNITS","1/1/2009 12:00:00 AM",186790
"CZECH REPUBLIC","All vehicles","UNITS","1/1/2010 12:00:00 AM",186648
"CZECH REPUBLIC","All vehicles","UNITS","1/1/2011 12:00:00 AM",194945
"CZECH REPUBLIC","All vehicles","UNITS","1/1/2012 12:00:00 AM",193795
"ESTONIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",23511
"ESTONIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",30754
"ESTONIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",37480
"ESTONIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",29000
"ESTONIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",11489
"ESTONIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",12203
"ESTONIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",20346
"ESTONIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",23073
"HUNGARY","All vehicles","UNITS","1/1/2005 12:00:00 AM",219461
"HUNGARY","All vehicles","UNITS","1/1/2006 12:00:00 AM",209280
"HUNGARY","All vehicles","UNITS","1/1/2007 12:00:00 AM",193581
"HUNGARY","All vehicles","UNITS","1/1/2008 12:00:00 AM",174837
"HUNGARY","All vehicles","UNITS","1/1/2009 12:00:00 AM",70808
"HUNGARY","All vehicles","UNITS","1/1/2010 12:00:00 AM",55221
"HUNGARY","All vehicles","UNITS","1/1/2011 12:00:00 AM",60993
"HUNGARY","All vehicles","UNITS","1/1/2012 12:00:00 AM",68168
"LATVIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",16135
"LATVIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",21744
"LATVIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",31090
"LATVIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",28885
"LATVIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",8918
"LATVIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",10369
"LATVIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",17929
"LATVIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",14497
"LITHUANIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",19639
"LITHUANIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",30443
"LITHUANIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",39690
"LITHUANIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",24085
"LITHUANIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",6244
"LITHUANIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",7534
"LITHUANIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",14312
"LITHUANIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",16669
"MALTA","All vehicles","UNITS","1/1/2005 12:00:00 AM",7200
"MALTA","All vehicles","UNITS","1/1/2006 12:00:00 AM",7600
"MALTA","All vehicles","UNITS","1/1/2007 12:00:00 AM",6900
"MALTA","All vehicles","UNITS","1/1/2008 12:00:00 AM",5700
"MALTA","All vehicles","UNITS","1/1/2009 12:00:00 AM",5500
"MALTA","All vehicles","UNITS","1/1/2010 12:00:00 AM",5000
"MALTA","All vehicles","UNITS","1/1/2011 12:00:00 AM",6350
"MALTA","All vehicles","UNITS","1/1/2012 12:00:00 AM",6500
"POLAND","All vehicles","UNITS","1/1/2005 12:00:00 AM",271098
"POLAND","All vehicles","UNITS","1/1/2006 12:00:00 AM",278869
"POLAND","All vehicles","UNITS","1/1/2007 12:00:00 AM",353774
"POLAND","All vehicles","UNITS","1/1/2008 12:00:00 AM",396603
"POLAND","All vehicles","UNITS","1/1/2009 12:00:00 AM",321032
"POLAND","All vehicles","UNITS","1/1/2010 12:00:00 AM",365211
"POLAND","All vehicles","UNITS","1/1/2011 12:00:00 AM",337226
"POLAND","All vehicles","UNITS","1/1/2012 12:00:00 AM",328532
"ROMANIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",248462
"ROMANIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",282985
"ROMANIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",356577
"ROMANIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",325867
"ROMANIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",133561
"ROMANIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",104090
"ROMANIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",95508
"ROMANIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",80723
"SLOVAKIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",75033
"SLOVAKIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",83519
"SLOVAKIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",89094
"SLOVAKIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",102378
"SLOVAKIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",92761
"SLOVAKIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",73820
"SLOVAKIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",77904
"SLOVAKIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",78189
"SLOVENIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",67856
"SLOVENIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",67836
"SLOVENIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",78398
"SLOVENIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",81631
"SLOVENIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",63286
"SLOVENIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",66871
"SLOVENIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",67451
"SLOVENIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",57042
"ALBANIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",1000
"ALBANIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",1000
"ALBANIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",1800
"ALBANIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",1800
"ALBANIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",1200
"ALBANIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",1800
"ALBANIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",2260
"ALBANIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",2500
"ARMENIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",11430
"ARMENIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",12450
"ARMENIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",6480
"ARMENIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",4400
"ARMENIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",4400
"ARMENIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",4400
"ARMENIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",4400
"ARMENIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",5400
"BELARUS","All vehicles","UNITS","1/1/2005 12:00:00 AM",13000
"BELARUS","All vehicles","UNITS","1/1/2006 12:00:00 AM",18000
"BELARUS","All vehicles","UNITS","1/1/2007 12:00:00 AM",27000
"BELARUS","All vehicles","UNITS","1/1/2008 12:00:00 AM",32000
"BELARUS","All vehicles","UNITS","1/1/2009 12:00:00 AM",17000
"BELARUS","All vehicles","UNITS","1/1/2010 12:00:00 AM",19000
"BELARUS","All vehicles","UNITS","1/1/2011 12:00:00 AM",20000
"BELARUS","All vehicles","UNITS","1/1/2012 12:00:00 AM",24500
"BOSNIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",11500
"BOSNIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",11600
"BOSNIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",16700
"BOSNIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",14400
"BOSNIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",13205
"BOSNIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",11000
"BOSNIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",11000
"BOSNIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",10739
"CROATIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",79675
"CROATIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",89092
"CROATIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",94695
"CROATIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",100415
"CROATIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",50859
"CROATIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",42031
"CROATIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",45935
"CROATIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",35654
"GEORGIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",2700
"GEORGIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",3200
"GEORGIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",7300
"GEORGIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",9000
"GEORGIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",2000
"GEORGIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",5000
"GEORGIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",4000
"GEORGIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",5300
"MOLDAVIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",4550
"MOLDAVIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",5570
"MOLDAVIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",7610
"MOLDAVIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",11500
"MOLDAVIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",4200
"MOLDAVIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",5200
"MOLDAVIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",6400
"MOLDAVIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",5300
"RUSSIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",1806625
"RUSSIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",2244840
"RUSSIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",2898032
"RUSSIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",3222346
"RUSSIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",1597457
"RUSSIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",2107135
"RUSSIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",2901612
"RUSSIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",3141551
"SERBIA","All vehicles","UNITS","1/1/2005 12:00:00 AM",24516
"SERBIA","All vehicles","UNITS","1/1/2006 12:00:00 AM",30761
"SERBIA","All vehicles","UNITS","1/1/2007 12:00:00 AM",39947
"SERBIA","All vehicles","UNITS","1/1/2008 12:00:00 AM",44255
"SERBIA","All vehicles","UNITS","1/1/2009 12:00:00 AM",33500
"SERBIA","All vehicles","UNITS","1/1/2010 12:00:00 AM",31242
"SERBIA","All vehicles","UNITS","1/1/2011 12:00:00 AM",25321
"SERBIA","All vehicles","UNITS","1/1/2012 12:00:00 AM",26700
"TURKEY","All vehicles","UNITS","1/1/2005 12:00:00 AM",715212
"TURKEY","All vehicles","UNITS","1/1/2006 12:00:00 AM",617838
"TURKEY","All vehicles","UNITS","1/1/2007 12:00:00 AM",594762
"TURKEY","All vehicles","UNITS","1/1/2008 12:00:00 AM",494355
"TURKEY","All vehicles","UNITS","1/1/2009 12:00:00 AM",557126
"TURKEY","All vehicles","UNITS","1/1/2010 12:00:00 AM",760913
"TURKEY","All vehicles","UNITS","1/1/2011 12:00:00 AM",864439
"TURKEY","All vehicles","UNITS","1/1/2012 12:00:00 AM",817620
"UKRAINE","All vehicles","UNITS","1/1/2005 12:00:00 AM",348767
"UKRAINE","All vehicles","UNITS","1/1/2006 12:00:00 AM",511788
"UKRAINE","All vehicles","UNITS","1/1/2007 12:00:00 AM",607256
"UKRAINE","All vehicles","UNITS","1/1/2008 12:00:00 AM",705926
"UKRAINE","All vehicles","UNITS","1/1/2009 12:00:00 AM",207258
"UKRAINE","All vehicles","UNITS","1/1/2010 12:00:00 AM",189701
"UKRAINE","All vehicles","UNITS","1/1/2011 12:00:00 AM",230890
"UKRAINE","All vehicles","UNITS","1/1/2012 12:00:00 AM",263604
"CANADA","All vehicles","UNITS","1/1/2005 12:00:00 AM",1630142
"CANADA","All vehicles","UNITS","1/1/2006 12:00:00 AM",1666008
"CANADA","All vehicles","UNITS","1/1/2007 12:00:00 AM",1690345
"CANADA","All vehicles","UNITS","1/1/2008 12:00:00 AM",1673522
"CANADA","All vehicles","UNITS","1/1/2009 12:00:00 AM",1482232
"CANADA","All vehicles","UNITS","1/1/2010 12:00:00 AM",1583388
"CANADA","All vehicles","UNITS","1/1/2011 12:00:00 AM",1620221
"CANADA","All vehicles","UNITS","1/1/2012 12:00:00 AM",1716178
"MEXICO","All vehicles","UNITS","1/1/2005 12:00:00 AM",1131768
"MEXICO","All vehicles","UNITS","1/1/2006 12:00:00 AM",1139718
"MEXICO","All vehicles","UNITS","1/1/2007 12:00:00 AM",1099866
"MEXICO","All vehicles","UNITS","1/1/2008 12:00:00 AM",1025520
"MEXICO","All vehicles","UNITS","1/1/2009 12:00:00 AM",754918
"MEXICO","All vehicles","UNITS","1/1/2010 12:00:00 AM",820406
"MEXICO","All vehicles","UNITS","1/1/2011 12:00:00 AM",905886
"MEXICO","All vehicles","UNITS","1/1/2012 12:00:00 AM",987747
"UNITED STATES OF AMERICA","All vehicles","UNITS","1/1/2005 12:00:00 AM",17444329
"UNITED STATES OF AMERICA","All vehicles","UNITS","1/1/2006 12:00:00 AM",17048981
"UNITED STATES OF AMERICA","All vehicles","UNITS","1/1/2007 12:00:00 AM",16460315
"UNITED STATES OF AMERICA","All vehicles","UNITS","1/1/2008 12:00:00 AM",13493165
"UNITED STATES OF AMERICA","All vehicles","UNITS","1/1/2009 12:00:00 AM",10601368
"UNITED STATES OF AMERICA","All vehicles","UNITS","1/1/2010 12:00:00 AM",11772219
"UNITED STATES OF AMERICA","All vehicles","UNITS","1/1/2011 12:00:00 AM",13040613
"UNITED STATES OF AMERICA","All vehicles","UNITS","1/1/2012 12:00:00 AM",14785936
"ARGENTINA","All vehicles","UNITS","1/1/2005 12:00:00 AM",380189
"ARGENTINA","All vehicles","UNITS","1/1/2006 12:00:00 AM",441420
"ARGENTINA","All vehicles","UNITS","1/1/2007 12:00:00 AM",558547
"ARGENTINA","All vehicles","UNITS","1/1/2008 12:00:00 AM",599950
